item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,champlvl,pinksbought,firstblood,win
3190,3020,2301,3504,3108,3802,3,5,13,2,1,1,759,0,0,0,0,61405,50612,9922,870,0,14445,3996,1,16233,3438,1735,47,0,17064,6295,10554,214,12530,9800,0,0,54,0,16,0,0,1
3143,3071,3111,3742,1054,3065,7,7,7,4,3,2,573,1,1,0,0,164354,319,157425,6609,0,21669,8549,1,46343,6105,3803,26,0,38178,10749,26734,694,14498,13200,0,0,243,5,17,0,0,1
3089,3157,3027,1056,3020,0,5,5,11,3,1,1,493,0,0,0,0,131409,113498,16507,1402,0,25069,6025,1,18076,5436,5436,13,0,28194,11584,16489,120,13493,11820,4,0,189,6,17,0,0,1
3072,3006,1038,3071,1042,1042,5,3,9,5,2,1,950,1,0,0,0,106068,1730,103792,546,721,23584,2079,3,6008,14409,9123,13,0,9927,4997,4929,0,11120,10350,3,2,144,5,13,0,0,1
1056,1052,1058,3165,3020,3157,5,2,11,4,1,1,1187,0,0,0,0,89975,50450,14955,24569,0,15728,3222,1,8191,6750,6750,13,0,13752,3880,9871,0,10419,9760,1,1,127,11,13,1,0,1
3153,3077,2003,3052,1419,3111,5,3,3,4,1,1,926,0,0,0,0,135490,30156,90814,14519,0,7243,13553,1,12710,24247,2123,18,0,26287,5189,20965,132,10291,9675,1,1,18,84,13,0,1,1
3107,3401,2049,3024,0,3117,0,3,12,0,0,0,674,0,0,0,0,21740,13172,8567,0,0,6055,2584,4,13574,3386,1362,29,0,18393,5154,12892,346,7874,7375,1,0,44,0,11,1,0,1
3068,1029,1054,3047,3071,3065,7,1,1,7,2,1,1587,2,0,0,0,132516,31689,99846,980,0,16307,1833,1,19598,5972,5972,14,0,15875,3617,10789,1468,12023,10975,2,0,213,0,15,1,0,1
3092,3107,2049,3117,1029,1029,3,3,9,0,1,0,757,0,0,0,0,19823,11301,5576,2945,0,8981,12871,9,6033,0,0,21,0,12964,2778,9590,596,7796,6925,0,0,8,0,12,1,0,0
1055,1053,3087,3111,1018,1038,2,1,4,0,1,0,1319,0,0,0,0,156186,41576,114610,0,556,13195,7844,1,21470,0,0,5,0,32047,4128,26685,1233,9795,7200,0,0,214,13,15,0,0,0
2031,1408,3117,3044,1028,0,0,6,5,0,0,0,539,0,0,0,0,68226,15938,47206,5082,0,4547,4863,1,11705,0,0,24,0,23321,6870,15419,1031,7051,5400,0,0,22,43,12,1,0,0
1056,3165,3157,3020,3113,0,2,5,2,0,1,0,611,0,0,0,0,118449,100865,12584,5000,0,11346,1322,3,4164,7016,7016,19,0,12491,4865,6773,851,9063,8425,1,0,174,11,13,1,0,0
1055,3006,3046,3031,0,0,5,7,3,4,2,1,619,1,0,0,0,106366,21919,83454,991,490,13565,852,1,14546,1259,0,13,0,18358,5979,10906,1472,9309,7600,0,0,165,5,14,0,0,0
3087,3074,1419,3047,3086,0,7,10,2,3,3,1,427,1,1,0,0,147662,9386,129855,8421,639,18520,5878,1,16134,1396,1116,14,0,27488,7513,19725,250,11355,11325,1,0,87,82,14,0,0,0
3157,3040,3027,1056,3020,0,6,8,11,2,2,2,493,1,0,0,0,130794,125295,5331,168,593,22578,5175,1,13865,4405,3338,9,0,21169,7457,12987,725,11552,10450,1,0,163,23,14,0,0,0
3031,3046,3006,1029,3044,1053,6,7,5,2,2,2,527,2,0,0,0,98986,14710,83283,991,991,15095,0,0,15636,4396,2393,13,0,20570,6734,13234,602,10245,10325,1,0,136,10,13,1,0,0
1055,3153,3006,3071,1018,0,6,9,7,2,1,1,408,0,0,0,0,67116,1480,65297,338,382,15269,1597,4,10399,2484,2484,9,0,21568,6085,14017,1465,9801,8950,0,0,123,3,13,0,0,0
3009,2303,3110,3065,0,0,3,11,18,0,1,0,229,0,0,0,0,21550,7815,7530,6205,0,9582,4742,5,41951,576,488,13,0,25645,7109,16525,2010,9668,8850,0,0,41,0,13,0,0,0
3157,3165,3027,3111,1056,3057,13,4,8,5,2,3,612,1,0,0,0,107927,82703,22819,2405,0,19425,3892,1,13482,9906,4625,27,0,18290,4314,13306,669,13586,11375,0,1,167,8,15,1,1,1
3065,2033,3078,3111,3022,0,6,5,16,2,2,2,566,1,0,0,0,108907,18863,88592,1450,0,19558,438,1,22618,7888,6167,23,0,32371,8328,22733,1310,12405,11308,4,0,150,3,16,1,0,1
3401,3111,3190,2045,1031,1029,4,5,25,2,1,1,808,0,0,0,0,32365,16646,9747,5971,0,8267,2330,5,31898,2437,817,33,0,19119,6091,12741,287,10417,8725,0,0,35,0,14,1,0,1
3031,1053,3006,3085,3155,3087,15,5,14,8,2,3,623,4,0,0,0,130551,9015,113690,7845,817,32805,3585,4,9193,18136,8238,13,0,17995,4891,12547,557,14782,12900,3,0,170,2,16,0,0,1
3153,3052,3077,0,1419,3111,7,9,7,3,2,1,348,1,0,0,0,99076,25132,59718,14226,0,10666,12913,1,14702,24935,1931,19,0,29726,8841,20541,344,10842,9725,0,0,46,44,14,0,0,1
1419,3153,3006,0,0,0,1,9,6,0,1,0,714,0,0,0,0,69787,1511,60958,7317,514,5824,6330,1,12841,0,0,12,0,25705,6281,18401,1022,7594,7275,0,0,18,62,12,0,0,0
3107,3401,2049,3117,0,0,0,7,8,0,0,0,391,0,0,0,0,17549,9811,5825,1912,0,5033,1188,4,14130,0,0,13,0,21761,4981,14688,2091,6699,6870,0,0,38,0,11,0,0,0
3153,3006,3031,3086,0,0,5,6,4,2,1,2,491,0,0,0,0,107769,551,105384,1834,674,12737,3366,4,9129,0,0,8,0,19728,5915,13389,423,9893,9700,0,0,166,7,13,0,0,0
3086,3153,3071,3006,1042,1042,8,5,4,6,1,1,721,0,0,0,0,79884,1989,76062,1832,363,14325,1853,1,8023,2570,2570,14,0,18563,4325,13195,1042,10507,9950,1,0,156,1,14,0,0,0
3071,2033,3742,3111,1028,3082,4,4,3,3,1,1,661,0,0,0,0,85182,5184,79997,0,0,16597,1613,1,16238,2341,2341,22,0,20578,2057,17748,772,9115,9050,1,0,152,0,14,2,0,0
3071,2033,3047,3742,3082,0,6,7,3,3,1,1,524,0,0,0,0,101167,391,98358,2416,0,17690,2210,1,18328,5362,5362,14,0,23201,2693,19901,606,11249,8875,2,0,142,6,15,1,0,1
3153,3025,3042,3158,1055,1029,3,1,12,2,1,1,1090,0,0,0,0,130025,20233,109791,0,0,17857,1298,1,10988,11697,5587,15,0,11836,1279,10262,294,12223,10200,2,1,209,2,15,0,0,1
2301,2010,3151,3020,1026,1052,3,1,8,3,1,1,947,0,0,0,0,48167,35374,7724,5069,0,11208,1431,1,3730,5013,2165,37,0,8007,674,7169,164,10186,7910,2,0,48,1,14,1,0,1
1055,3094,3085,3006,3031,1036,11,4,7,5,2,2,961,1,0,0,0,165695,1959,162221,1514,1770,28184,2116,5,7153,18938,6559,16,0,14467,1320,12524,623,13447,10775,1,1,184,8,15,1,0,1
3153,3077,3052,1028,1419,3111,8,5,5,3,1,2,700,0,0,0,0,144500,36782,101620,6098,0,14378,20032,1,18084,12082,4180,19,0,36326,4639,31087,599,12312,10075,2,1,18,99,15,0,1,1
1082,3165,3174,3020,3089,1026,12,12,4,3,3,4,530,3,1,0,0,94102,84148,8910,1043,0,24068,1413,5,11051,890,568,13,0,20044,10717,9082,244,11515,11450,1,0,90,0,15,0,0,0
1055,3140,3153,3085,3006,1038,6,7,6,2,2,2,848,1,0,0,0,112039,4685,107059,294,212,20252,3741,5,11609,1655,1655,9,0,23393,7411,15801,180,10740,10300,0,0,154,3,14,0,0,0
3092,3117,2049,2003,3165,1029,2,6,14,2,1,1,657,0,0,0,0,25120,20926,4186,8,0,8323,7518,3,9714,1233,852,33,0,21215,7831,13199,184,9339,7700,0,0,23,0,13,2,0,0
3074,3190,3047,1011,3071,1031,7,6,8,3,2,1,568,1,0,0,0,158052,5566,150588,1898,0,18108,1613,1,40267,3376,3376,14,0,28606,9317,18061,1227,13191,11825,1,0,235,6,17,3,0,0
3065,3748,3711,3117,1011,1031,5,8,13,3,1,1,877,0,0,0,0,88615,31499,51890,5226,0,13323,15396,1,37767,640,640,11,0,44047,13425,29421,1199,10533,10105,0,0,31,56,15,0,0,0
3401,0,3117,3082,3024,3109,0,7,15,0,0,0,388,0,0,0,0,16278,10086,6192,0,0,6236,2737,5,23166,2041,2041,15,0,21841,9046,12484,311,8995,7550,1,0,36,0,14,0,0,1
2033,3146,3020,3100,3135,3191,10,5,7,4,2,3,698,1,0,0,0,104860,77954,26906,0,524,25528,4744,1,9172,2636,2636,23,0,21357,10642,10267,448,13605,12200,0,0,190,7,16,2,1,1
3085,3146,3115,3047,1043,0,6,7,9,2,2,2,566,1,0,0,0,143097,73091,68441,1563,401,26789,5835,1,10386,7786,7786,11,0,19650,7491,11885,274,13454,11525,3,0,199,6,16,1,0,1
1408,2031,3742,3071,3026,3117,15,4,6,4,1,5,583,0,0,0,0,170064,38244,118489,13329,0,22647,9457,1,22195,13842,1365,23,0,34178,7027,27038,112,15160,12125,2,2,51,87,17,2,0,1
3085,3031,3072,3026,3006,1036,8,9,15,5,2,2,614,1,0,0,0,150444,967,149206,270,1686,35259,5659,4,15079,10176,10176,6,0,25881,10747,15134,0,14325,14100,1,2,189,1,16,0,0,1
1055,3812,3047,3078,0,0,5,4,5,3,1,1,728,0,0,0,0,152754,1264,149821,1668,0,24404,4712,1,0,0,0,0,0,18006,3685,12543,1776,11116,9008,2,0,200,1,15,1,0,1
1401,2031,3111,3065,0,0,7,1,7,5,1,2,1126,0,0,0,0,97625,33073,55500,9051,0,13645,5167,1,0,0,0,0,0,17903,4513,13106,284,10466,6675,1,0,27,53,14,0,0,1
1055,3006,3153,3085,3124,1037,16,5,3,13,3,2,541,4,2,0,0,173474,38858,131087,3528,650,40089,6588,3,0,0,0,0,0,23782,7864,15208,709,15070,12075,2,0,205,20,15,0,0,1
